mitre_id,technique,tactics,groups
T1586.002,Email Accounts,Resource Development,APT28|Magic Hound|Mustang Panda|OilRig|HEXANE|Kimsuky|WIRTE|APT-C-36|LAPSUS$|IndigoZebra|TA577|APT29|Star Blizzard|Leviathan
T1098.007,Additional Local or Domain Groups,Persistence|Privilege Escalation,APT41|APT3|Magic Hound|APT5|Dragonfly|FIN13|Kimsuky
T1608.001,Upload Malware,Resource Development,Sandworm Team|TA2541|Earth Lusca|Mustang Panda|LuminousMoth|WIRTE|Kimsuky|Mustard Tempest|OilRig|TeamTNT|LazyScripter|Gamaredon Group|Star Blizzard|Threat Group-3390|SideCopy|TA505|BlackByte|BITTER|APT32|HEXANE|Saint Bear|Moonstone Sleet|Contagious Interview|APT-C-36|FIN7|EXOTIC LILY|APT42
T1195,Supply Chain Compromise,Initial Access,OilRig|Ember Bear|Sandworm Team
T1190,Exploit Public-Facing Application,Initial Access,Rocke|Threat Group-3390|FIN7|Volt Typhoon|VOID MANTICORE|Sandworm Team|APT28|Kimsuky|Ember Bear|BackdoorDiplomacy|GOLD SOUTHFIELD|FIN13|BlackTech|Magic Hound|Medusa Group|Sea Turtle|Storm-0501|Fox Kitten|Cinnamon Tempest|BlackByte|Ke3chang|Agrius|menuPass|ToddyCat|Blue Mockingbird|GALLIUM|Winter Vivern|Earth Lusca|APT29|Leviathan|Volatile Cedar|INC Ransom|UNC3886|MirrorFace|Moses Staff|Dragonfly|Axiom|APT41|Play|HAFNIUM|APT5|MuddyWater|Salt Typhoon|APT39
T1558,Steal or Forge Kerberos Tickets,Credential Access,Akira
T1555,Credentials from Password Stores,Credential Access,HEXANE|Volt Typhoon|Leafminer|Stealth Falcon|APT39|Evilnum|APT41|APT33|MuddyWater|OilRig|FIN6|Malteiro
T1567,Exfiltration Over Web Service,Exfiltration,Magic Hound|Contagious Interview|APT28|BlackByte
T1219,Remote Access Tools,Command And Control,TeamTNT|OilRig|FIN7|GOLD SOUTHFIELD|INC Ransom|Medusa Group|DarkVishnya|Sandworm Team|Carbanak|Akira|BlackByte|Cobalt Group
T1583.001,Domains,Resource Development,APT28|TA505|APT-C-36|Storm-1811|MuddyWater|HEXANE|VOID MANTICORE|Star Blizzard|APT42|Contagious Interview|APT1|APT32|IndigoZebra|Leviathan|Earth Lusca|Kimsuky|Scattered Spider|Dragonfly|TA2541|LazyScripter|Transparent Tribe|ZIRCONIUM|WIRTE|Threat Group-3390|RedEcho|OilRig|Mustang Panda|Lazarus Group|EXOTIC LILY|Silent Librarian|FIN7|Sea Turtle|Magic Hound|APT38|Gamaredon Group|Winter Vivern|Moonstone Sleet|BITTER|TeamTNT|Sandworm Team|Winnti Group|Ferocious Kitten|CURIUM|menuPass
T1560.002,Archive via Library,Collection,Lazarus Group|Threat Group-3390
T1055.003,Thread Execution Hijacking,Stealth|Privilege Escalation,no
T1684,Social Engineering,Stealth,no
T1036,Masquerading,Stealth,menuPass|APT32|Contagious Interview|BRONZE BUTLER|OilRig|Ember Bear|Sandworm Team|Nomadic Octopus|Agrius|Aoqin Dragon|TeamTNT|LazyScripter|APT28|ZIRCONIUM|FIN13|Windshift|Storm-1811|Winter Vivern|TA551|PLATINUM
T1546.011,Application Shimming,Privilege Escalation|Persistence,FIN7
T1552,Unsecured Credentials,Credential Access,Volt Typhoon
T1547.010,Port Monitors,Persistence|Privilege Escalation,no
T1070.008,Clear Mailbox Data,Stealth,APT42|Scattered Spider
T1037.002,Login Hook,Persistence|Privilege Escalation,no
T1659,Content Injection,Initial Access|Command And Control,MoustachedBouncer
T1055,Process Injection,Stealth|Privilege Escalation,APT38|Silence|APT32|Wizard Spider|TA2541|Cobalt Group|APT37|Velvet Ant|Kimsuky|APT5|PLATINUM|Gamaredon Group|BlackByte|APT41|Turla
T1567.004,Exfiltration Over Webhook,Exfiltration,no
T1205,Traffic Signaling,Stealth|Persistence|Command And Control,UNC3886|Mustang Panda|Kimsuky
T1021.008,Direct Cloud VM Connections,Lateral Movement,no
T1218,System Binary Proxy Execution,Stealth,Lazarus Group|Volt Typhoon
T1070.006,Timestomp,Stealth,APT28|APT5|UNC3886|APT38|APT32|Kimsuky|APT29|Chimera|Lazarus Group|Mustang Panda|Rocke
T1557.004,Evil Twin,Credential Access|Collection,APT28
T1620,Reflective Code Loading,Stealth,FIN7|Lazarus Group|Kimsuky|Gamaredon Group
T1016.002,Wi-Fi Discovery,Discovery,Magic Hound
T1480.002,Mutual Exclusion,Stealth,Kimsuky|APT38
T1564.011,Ignore Process Interrupts,Stealth,UNC3886|Sea Turtle|Kimsuky
T1611,Escape to Host,Privilege Escalation,TeamTNT
T1518.002,Backup Software Discovery,Discovery,Wizard Spider
T1547.009,Shortcut Modification,Persistence|Privilege Escalation,APT39|Leviathan|Lazarus Group|Gorgon Group
T1010,Application Window Discovery,Discovery,Lazarus Group|Volt Typhoon|HEXANE
T1569.003,Systemctl,Execution,TeamTNT
T1087.003,Email Account,Discovery,TA505|Magic Hound|RedCurl|Sandworm Team
T1497.003,Time Based Checks,Stealth|Discovery,no
T1218.003,CMSTP,Stealth,MuddyWater|Cobalt Group
T1563.001,SSH Hijacking,Lateral Movement,no
T1029,Scheduled Transfer,Exfiltration,Higaisa
T1021.002,SMB/Windows Admin Shares,Lateral Movement,Moses Staff|Threat Group-1314|Aquatic Panda|Wizard Spider|APT41|Ke3chang|Turla|FIN13|Chimera|Fox Kitten|Play|Sandworm Team|ToddyCat|APT3|FIN8|Blue Mockingbird|APT32|Cinnamon Tempest|MirrorFace|BlackByte|Velvet Ant|Orangeworm|Lazarus Group|Deep Panda|APT39|APT28|Storm-1811
T1525,Implant Internal Image,Persistence,no
T1572,Protocol Tunneling,Command And Control,FIN13|Magic Hound|FIN6|Salt Typhoon|FIN7|Ember Bear|Chimera|OilRig|Fox Kitten|Cobalt Group|Cinnamon Tempest|VOID MANTICORE|Mustang Panda|Scattered Spider|Leviathan
T1218.002,Control Panel,Stealth,no
T1599.001,Network Address Translation Traversal,Defense Impairment,no
T1608.002,Upload Tool,Resource Development,Medusa Group|Threat Group-3390
T1547.005,Security Support Provider,Persistence|Privilege Escalation,no
T1036.011,Overwrite Process Arguments,Stealth,no
T1550,Use Alternate Authentication Material,Lateral Movement,no
T1597.001,Threat Intel Vendors,Reconnaissance,no
T1011,Exfiltration Over Other Network Medium,Exfiltration,no
T1602.002,Network Device Configuration Dump,Collection,Salt Typhoon
T1589,Gather Victim Identity Information,Reconnaissance,LAPSUS$|HEXANE|VOID MANTICORE|Scattered Spider|FIN13|APT32|Star Blizzard|Contagious Interview|Magic Hound|Volt Typhoon
T1560,Archive Collected Data,Collection,Dragonfly|Patchwork|Axiom|Ember Bear|BlackByte|Lazarus Group|APT28|APT32|FIN6|LuminousMoth|Ke3chang|menuPass|Leviathan
T1553.003,SIP and Trust Provider Hijacking,Defense Impairment,no
T1185,Browser Session Hijacking,Collection,Kimsuky
T1021,Remote Services,Lateral Movement,Wizard Spider|Aquatic Panda|Ember Bear
T1071.003,Mail Protocols,Command And Control,Turla|SilverTerrier|APT32|APT28|Kimsuky|Contagious Interview
T1556.007,Hybrid Identity,Defense Impairment|Persistence|Credential Access,APT29
T1595.002,Vulnerability Scanning,Reconnaissance,Sandworm Team|Volatile Cedar|Leviathan|Ember Bear|APT41|TeamTNT|APT28|Magic Hound|VOID MANTICORE|APT29|Winter Vivern|Aquatic Panda|Dragonfly|Earth Lusca
T1059.009,Cloud API,Execution,Storm-0501|TeamTNT|APT29
T1596,Search Open Technical Databases,Reconnaissance,APT28|Kimsuky
T1218.015,Electron Applications,Stealth,no
T1207,Rogue Domain Controller,Defense Impairment,no
T1553.006,Code Signing Policy Modification,Defense Impairment,APT39|Turla
T1610,Deploy Container,Execution,TeamTNT
T1112,Modify Registry,Defense Impairment|Persistence,Turla|APT38|Patchwork|Indrik Spider|Medusa Group|Silence|TA505|APT19|BlackByte|Lotus Blossom|Gamaredon Group|Wizard Spider|APT32|Aquatic Panda|Earth Lusca|Blue Mockingbird|OilRig|Ember Bear|Volt Typhoon|Dragonfly|Gorgon Group|LuminousMoth|Kimsuky|APT41|Magic Hound|APT42|Saint Bear|Threat Group-3390|FIN8
T1543.004,Launch Daemon,Persistence|Privilege Escalation,no
T1580,Cloud Infrastructure Discovery,Discovery,Scattered Spider|Storm-0501
T1555.003,Credentials from Web Browsers,Credential Access,Patchwork|APT41|ZIRCONIUM|Malteiro|APT3|APT33|Stealth Falcon|Leafminer|APT37|Sandworm Team|MuddyWater|LAPSUS$|HEXANE|TA505|Molerats|Ajax Security Team|Inception|Volt Typhoon|Kimsuky|OilRig|RedCurl|FIN6|APT42
T1574.008,Path Interception by Search Order Hijacking,Stealth|Execution,no
T1491,Defacement,Impact,no
T1535,Unused/Unsupported Cloud Regions,Stealth,no
T1557.003,DHCP Spoofing,Credential Access|Collection,no
T1563,Remote Service Session Hijacking,Lateral Movement,no
T1564.013,Bind Mounts,Stealth,no
T1027.001,Binary Padding,Stealth,Leviathan|APT29|Kimsuky|Moafee|Higaisa|Patchwork|BRONZE BUTLER|Akira
T1505.003,Web Shell,Persistence,CURIUM|Dragonfly|APT28|OilRig|FIN13|BackdoorDiplomacy|Agrius|Deep Panda|APT39|Mustang Panda|Volatile Cedar|GALLIUM|Threat Group-3390|Tropic Trooper|Ember Bear|HAFNIUM|Moses Staff|Sandworm Team|Fox Kitten|Tonto Team|Volt Typhoon|APT38|APT29|Magic Hound|BlackByte|APT5|APT32|Medusa Group|Leviathan|Sea Turtle|Kimsuky
T1484.001,Group Policy Modification,Defense Impairment|Privilege Escalation,VOID MANTICORE|Storm-0501|Cinnamon Tempest|APT41|Indrik Spider
T1685.006,Clear Linux or Mac System Logs,Defense Impairment,Salt Typhoon|Rocke|Sea Turtle|TeamTNT
T1217,Browser Information Discovery,Discovery,Kimsuky|Fox Kitten|Volt Typhoon|APT38|Scattered Spider|Moonstone Sleet|Chimera
T1552.004,Private Keys,Credential Access,Scattered Spider|Kimsuky|TeamTNT|Storm-0501|Rocke|Volt Typhoon
T1583.004,Server,Resource Development,GALLIUM|Kimsuky|Sandworm Team|VOID MANTICORE|Earth Lusca|Mustard Tempest|CURIUM
T1021.006,Windows Remote Management,Lateral Movement,FIN13|Chimera|Storm-0501|Threat Group-3390|Wizard Spider
T1011.001,Exfiltration Over Bluetooth,Exfiltration,no
T1078.001,Default Accounts,Stealth|Persistence|Privilege Escalation|Initial Access,FIN13|UNC3886|Magic Hound|Ember Bear
T1547.003,Time Providers,Persistence|Privilege Escalation,no
T1546.005,Trap,Privilege Escalation|Persistence,no
T1574.006,Dynamic Linker Hijacking,Stealth|Execution,Aquatic Panda|Rocke|APT41
T1136.001,Local Account,Persistence,Wizard Spider|APT5|Dragonfly|TeamTNT|Fox Kitten|APT41|FIN13|Kimsuky|Magic Hound|Indrik Spider|Leafminer|APT39|Daggerfly|APT3
T1681,Search Threat Vendor Data,Reconnaissance,UNC3886|Contagious Interview
T1674,Input Injection,Execution,FIN7
T1092,Communication Through Removable Media,Command And Control,APT28
T1585.002,Email Accounts,Resource Development,Kimsuky|Moonstone Sleet|Magic Hound|Mustang Panda|Leviathan|Medusa Group|Star Blizzard|APT42|CURIUM|Silent Librarian|EXOTIC LILY|APT1|Wizard Spider|HEXANE|Indrik Spider|Sandworm Team|VOID MANTICORE|Contagious Interview|Lazarus Group
T1557.001,Name Resolution Poisoning and SMB Relay,Credential Access|Collection,Lazarus Group|Wizard Spider
T1222,File and Directory Permissions Modification,Defense Impairment,no
T1003.001,LSASS Memory,Credential Access,Indrik Spider|OilRig|Cleaver|Leafminer|Threat Group-3390|APT1|Leviathan|FIN8|HAFNIUM|Blue Mockingbird|Volt Typhoon|Whitefly|APT33|FIN13|APT32|MirrorFace|VOID MANTICORE|Mustang Panda|Agrius|GALLIUM|APT5|Medusa Group|BRONZE BUTLER|APT39|Magic Hound|Earth Lusca|UNC3886|PLATINUM|Fox Kitten|Silence|Sandworm Team|Moonstone Sleet|MuddyWater|Wizard Spider|Aquatic Panda|Ke3chang|APT3|APT41|FIN6|Ember Bear|APT28|Kimsuky|Play|RedCurl
T1176.002,IDE Extensions,Persistence,Mustang Panda
T1595,Active Scanning,Reconnaissance,no
T1027.016,Junk Code Insertion,Stealth,FIN7|APT-C-36|Gamaredon Group|Kimsuky|APT32|Mustang Panda
T1548,Abuse Elevation Control Mechanism,Privilege Escalation,UNC3886
T1134.002,Create Process with Token,Stealth|Privilege Escalation,Turla|Lazarus Group
T1548.001,Setuid and Setgid,Privilege Escalation,no
T1547.004,Winlogon Helper DLL,Persistence|Privilege Escalation,Wizard Spider|Tropic Trooper|Turla
T1021.003,Distributed Component Object Model,Lateral Movement,no
T1110.003,Password Spraying,Credential Access,HAFNIUM|Agrius|Ember Bear|APT29|HEXANE|Lazarus Group|APT33|Silent Librarian|Chimera|Leafminer|APT28
T1090.002,External Proxy,Command And Control,APT39|APT28|FIN5|Tonto Team|Lazarus Group|menuPass|APT3|Silence|GALLIUM|APT29|MuddyWater
T1056.003,Web Portal Capture,Collection|Credential Access,Kimsuky|Winter Vivern
T1589.002,Email Addresses,Reconnaissance,Saint Bear|Moonstone Sleet|TA551|Volt Typhoon|Lazarus Group|HAFNIUM|Magic Hound|Silent Librarian|Kimsuky|HEXANE|LAPSUS$|EXOTIC LILY|APT32|Sandworm Team
T1598.004,Spearphishing Voice,Reconnaissance,LAPSUS$|Scattered Spider
T1683.001,Written Content,Resource Development,APT-C-36|Contagious Interview
T1003.005,Cached Domain Credentials,Credential Access,APT33|Leafminer|OilRig|MuddyWater
T1098.004,SSH Authorized Keys,Persistence|Privilege Escalation,Earth Lusca|Salt Typhoon|TeamTNT
T1673,Virtual Machine Discovery,Discovery,UNC3886
T1590.006,Network Security Appliances,Reconnaissance,Volt Typhoon
T1546.012,Image File Execution Options Injection,Privilege Escalation|Persistence,no
T1218.008,Odbcconf,Stealth,Cobalt Group
T1593.002,Search Engines,Reconnaissance,Kimsuky
T1591.002,Business Relationships,Reconnaissance,Dragonfly|LAPSUS$|Sandworm Team
T1548.005,Temporary Elevated Cloud Access,Privilege Escalation,no
T1125,Video Capture,Collection,Ember Bear|Silence|FIN7|VOID MANTICORE
T1055.013,Process Doppelgänging,Stealth|Privilege Escalation,Leafminer
T1016,System Network Configuration Discovery,Discovery,HEXANE|Mustang Panda|Play|BlackByte|Dragonfly|admin@338|Lotus Blossom|Moses Staff|APT19|FIN13|Volt Typhoon|Lazarus Group|APT3|MuddyWater|menuPass|SideCopy|Stealth Falcon|APT1|Tropic Trooper|Threat Group-3390|Ke3chang|Scattered Spider|Naikon|APT42|MirrorFace|Chimera|Magic Hound|Sidewinder|Turla|Wizard Spider|TeamTNT|APT41|GALLIUM|Moonstone Sleet|Kimsuky|Darkhotel|HAFNIUM|APT32|Higaisa|OilRig|Earth Lusca|Medusa Group|ZIRCONIUM
T1578.003,Delete Cloud Instance,Defense Impairment,LAPSUS$|Storm-0501
T1593.003,Code Repositories,Reconnaissance,Contagious Interview|LAPSUS$|HAFNIUM
T1574.005,Executable Installer File Permissions Weakness,Stealth|Execution,Mustang Panda
T1546.008,Accessibility Features,Privilege Escalation|Persistence,APT41|APT3|Deep Panda|Axiom|Fox Kitten|APT29
T1496.002,Bandwidth Hijacking,Impact,no
T1087,Account Discovery,Discovery,Aquatic Panda|Scattered Spider|FIN13
T1090,Proxy,Command And Control,Volt Typhoon|Sandworm Team|Turla|CopyKittens|MirrorFace|LAPSUS$|Blue Mockingbird|Cinnamon Tempest|MoustachedBouncer|Windigo|POLONIUM|Fox Kitten|Contagious Interview|MuddyWater|Earth Lusca|Scattered Spider|Magic Hound|APT41|Gamaredon Group
T1059,Command and Scripting Interpreter,Execution,Fox Kitten|Stealth Falcon|Winter Vivern|FIN7|FIN6|FIN5|APT19|APT32|Dragonfly|Saint Bear|Whitefly|APT39|Ke3chang|APT37|Mustang Panda|Windigo|OilRig
T1204.005,Malicious Library,Execution,Contagious Interview
T1685.005,Clear Windows Event Logs,Defense Impairment,MirrorFace|APT41|Volt Typhoon|APT38|Play|FIN5|Chimera|Dragonfly|FIN8|Indrik Spider|APT32|APT28|Aquatic Panda|HAFNIUM
T1136.002,Domain Account,Persistence,GALLIUM|BlackByte|Wizard Spider|Medusa Group|HAFNIUM
T1564.014,Extended Attributes,Stealth,no
T1589.003,Employee Names,Reconnaissance,Kimsuky|Sandworm Team|Silent Librarian
T1677,Poisoned Pipeline Execution,Execution,no
T1482,Domain Trust Discovery,Discovery,BlackByte|Akira|Chimera|MirrorFace|Lotus Blossom|Earth Lusca|Storm-0501|Storm-1811|Magic Hound|FIN8
T1558.001,Golden Ticket,Credential Access,Ke3chang
T1020,Automated Exfiltration,Exfiltration,Kimsuky|Sidewinder|Ke3chang|RedCurl|Winter Vivern|Tropic Trooper|Gamaredon Group
T1592.004,Client Configurations,Reconnaissance,HAFNIUM
T1219.001,IDE Tunneling,Command And Control,Mustang Panda
T1036.002,Right-to-Left Override,Stealth,Ferocious Kitten|BlackTech|Ke3chang|Scarlet Mimic|BRONZE BUTLER
T1588.001,Malware,Resource Development,LuminousMoth|MuddyWater|TA2541|APT-C-36|Ember Bear|LAPSUS$|VOID MANTICORE|Metador|APT1|Aquatic Panda|LazyScripter|UNC3886|Andariel|TA505|Turla|Earth Lusca|BackdoorDiplomacy|Scattered Spider
T1027.017,SVG Smuggling,Stealth,no
T1542.002,Component Firmware,Stealth|Persistence,Equation
T1070,Indicator Removal,Stealth,APT42|Mustang Panda|APT5|Lazarus Group
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Exfiltration,no
T1137.001,Office Template Macros,Persistence,MuddyWater
T1583.003,Virtual Private Server,Resource Development,Gamaredon Group|APT28|Ember Bear|LAPSUS$|Sea Turtle|Winter Vivern|CURIUM|VOID MANTICORE|BlackByte|Axiom|Moonstone Sleet|Contagious Interview|Dragonfly|APT-C-36|APT42|HAFNIUM
T1213.001,Confluence,Collection,LAPSUS$
T1550.003,Pass the Ticket,Lateral Movement,APT29|APT32|BRONZE BUTLER
T1609,Container Administration Command,Execution,TeamTNT
T1083,File and Directory Discovery,Discovery,Volt Typhoon|Contagious Interview|UNC3886|Patchwork|Sowbug|Gamaredon Group|Medusa Group|Dragonfly|APT38|APT28|Inception|MirrorFace|RedCurl|Velvet Ant|Chimera|admin@338|Ke3chang|Sandworm Team|Sidewinder|Scattered Spider|Aoqin Dragon|Tropic Trooper|Dark Caracal|MuddyWater|Magic Hound|TeamTNT|Lotus Blossom|LuminousMoth|APT3|APT32|Mustang Panda|APT39|ToddyCat|Lazarus Group|Darkhotel|Play|menuPass|Kimsuky|HAFNIUM|Confucius|APT41|Winnti Group|Winter Vivern|Windigo|APT18|APT5|Fox Kitten|Leafminer|FIN13|Turla|BRONZE BUTLER
T1568,Dynamic Resolution,Command And Control,RedEcho|TA2541|Transparent Tribe|BITTER|APT29|Kimsuky|APT-C-36|Gamaredon Group
T1036.004,Masquerade Task or Service,Stealth,Aquatic Panda|Kimsuky|Carbanak|FIN7|FIN13|APT-C-36|APT32|Winter Vivern|Wizard Spider|BITTER|FIN6|Naikon|Fox Kitten|PROMETHIUM|UNC3886|ZIRCONIUM|Magic Hound|Higaisa|Lazarus Group|Storm-0501|VOID MANTICORE|BackdoorDiplomacy|APT41
T1055.004,Asynchronous Procedure Call,Stealth|Privilege Escalation,FIN8
T1020.001,Traffic Duplication,Exfiltration,no
T1647,Plist File Modification,Defense Impairment,no
T1127.003,JamPlus,Stealth|Execution,no
T1546.009,AppCert DLLs,Privilege Escalation|Persistence,no
T1114.003,Email Forwarding Rule,Collection,Scattered Spider|Silent Librarian|LAPSUS$|Star Blizzard|Kimsuky
T1074,Data Staged,Collection,Wizard Spider|Volt Typhoon|VOID MANTICORE|INC Ransom|Scattered Spider
T1649,Steal or Forge Authentication Certificates,Credential Access,APT29
T1098.005,Device Registration,Persistence|Privilege Escalation,APT29
T1049,System Network Connections Discovery,Discovery,APT38|menuPass|Poseidon Group|TeamTNT|Andariel|Mustang Panda|Turla|APT3|Lotus Blossom|Volt Typhoon|Sandworm Team|Velvet Ant|APT1|OilRig|ToddyCat|Magic Hound|Chimera|MuddyWater|admin@338|GALLIUM|APT41|HEXANE|APT5|BackdoorDiplomacy|APT32|Earth Lusca|Tropic Trooper|Ke3chang|Lazarus Group|FIN13|INC Ransom|Threat Group-3390
T1584,Compromise Infrastructure,Resource Development,no
T1553.005,Mark-of-the-Web Bypass,Defense Impairment,TA505|APT38|APT29
T1600.002,Disable Crypto Hardware,Defense Impairment,no
T1542,Pre-OS Boot,Stealth|Persistence,no
T1612,Build Image on Host,Stealth,no
T1055.002,Portable Executable Injection,Stealth|Privilege Escalation,Rocke|Gorgon Group
T1218.012,Verclsid,Stealth,no
T1586,Compromise Accounts,Resource Development,no
T1569.001,Launchctl,Execution,no
T1584.005,Botnet,Resource Development,HAFNIUM|Axiom|Sandworm Team|APT-C-36|Volt Typhoon
T1059.008,Network Device CLI,Execution,no
T1552.003,Shell History,Credential Access,no
T1559.003,XPC Services,Execution,no
T1497,Virtualization/Sandbox Evasion,Stealth|Discovery,Contagious Interview|Saint Bear|Darkhotel
T1102,Web Service,Command And Control,RedCurl|Inception|VOID MANTICORE|Rocke|FIN6|LazyScripter|FIN8|EXOTIC LILY|APT42|Fox Kitten|Turla|Mustang Panda|Gamaredon Group|APT32|TeamTNT
T1552.001,Credentials In Files,Credential Access,APT33|Fox Kitten|TA505|FIN13|Indrik Spider|APT3|Leafminer|Kimsuky|RedCurl|OilRig|Ember Bear|TeamTNT|MuddyWater|Scattered Spider
T1568.003,DNS Calculation,Command And Control,APT12
T1218.005,Mshta,Stealth,Sidewinder|Lazarus Group|MuddyWater|Mustang Panda|LazyScripter|TA2541|APT38|Inception|Kimsuky|FIN7|Earth Lusca|APT32|APT29|Confucius|TA551|SideCopy|Gamaredon Group
T1547.015,Login Items,Persistence|Privilege Escalation,no
T1608,Stage Capabilities,Resource Development,Mustang Panda
T1608.005,Link Target,Resource Development,FIN7|LuminousMoth|Silent Librarian
T1104,Multi-Stage Channels,Command And Control,APT3|Lazarus Group|MuddyWater|APT41
T1657,Financial Theft,Impact,INC Ransom|VOID MANTICORE|Contagious Interview|Cinnamon Tempest|Malteiro|Kimsuky|FIN13|Storm-0501|AppleJeus|Akira|Scattered Spider|Medusa Group|Water Galura|SilverTerrier|Play
T1480,Execution Guardrails,Stealth,APT-C-36|Contagious Interview|BlackByte|Gamaredon Group
T1619,Cloud Storage Object Discovery,Discovery,no
T1606.001,Web Cookies,Credential Access,no
T1654,Log Enumeration,Discovery,APT5|Ember Bear|Volt Typhoon|Aquatic Panda|Mustang Panda
T1134.001,Token Impersonation/Theft,Stealth|Privilege Escalation,APT28|FIN8
T1567.001,Exfiltration to Code Repository,Exfiltration,no
T1021.007,Cloud Services,Lateral Movement,Storm-0501|APT29|Scattered Spider
T1205.001,Port Knocking,Stealth|Persistence|Command And Control,PROMETHIUM|UNC3886
T1027.012,LNK Icon Smuggling,Stealth,Kimsuky|Gamaredon Group|Mustang Panda
T1583.006,Web Services,Resource Development,Earth Lusca|HAFNIUM|Contagious Interview|Medusa Group|Mustang Panda|Turla|ZIRCONIUM|APT17|MuddyWater|APT28|APT29|APT-C-36|FIN7|VOID MANTICORE|Lazarus Group|Confucius|Gamaredon Group|IndigoZebra|Saint Bear|POLONIUM|APT32|Kimsuky|TA578|TA2541|Magic Hound|LazyScripter
T1528,Steal Application Access Token,Credential Access,APT29|APT28
T1598.002,Spearphishing Attachment,Reconnaissance,Dragonfly|Star Blizzard|Sidewinder|SideCopy
T1098.001,Additional Cloud Credentials,Persistence|Privilege Escalation,Storm-0501
T1204,User Execution,Execution,Scattered Spider|LAPSUS$
T1491.001,Internal Defacement,Impact,Gamaredon Group|BlackByte|Lazarus Group
T1564.002,Hidden Users,Stealth,Dragonfly|Kimsuky
T1134.003,Make and Impersonate Token,Stealth|Privilege Escalation,BlackByte|FIN13
T1552.006,Group Policy Preferences,Credential Access,APT33|Wizard Spider
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Exfiltration,APT28|CURIUM|MirrorFace|Storm-1811
T1087.004,Cloud Account,Discovery,Storm-0501|APT29
T1683.002,Audio-Visual Content,Resource Development,APT-C-36|Contagious Interview
T1057,Process Discovery,Discovery,MirrorFace|Windshift|Volt Typhoon|Tropic Trooper|Sidewinder|Deep Panda|APT1|HAFNIUM|Darkhotel|Play|Stealth Falcon|TeamTNT|APT28|Chimera|Andariel|Lazarus Group|Storm-0501|Molerats|Earth Lusca|Medusa Group|Mustang Panda|ToddyCat|APT5|FIN7|Turla|MuddyWater|UNC3886|Rocke|Magic Hound|APT37|Kimsuky|Higaisa|Poseidon Group|Ke3chang|HEXANE|Inception|OilRig|APT3|Gamaredon Group|Winnti Group|APT38
T1556.008,Network Provider DLL,Defense Impairment|Persistence|Credential Access,no
T1546.003,Windows Management Instrumentation Event Subscription,Privilege Escalation|Persistence,Blue Mockingbird|APT29|HEXANE|FIN8|Leviathan|Turla|Metador|APT33|Mustang Panda|Rancor
T1596.004,CDNs,Reconnaissance,no
T1497.002,User Activity Based Checks,Stealth|Discovery,Darkhotel|FIN7
T1496.004,Cloud Service Hijacking,Impact,no
T1585.003,Cloud Accounts,Resource Development,Storm-1811
T1072,Software Deployment Tools,Execution|Lateral Movement,APT32|Sandworm Team|Mustang Panda|VOID MANTICORE|Silence|Threat Group-1314|Medusa Group
T1041,Exfiltration Over C2 Channel,Exfiltration,Scattered Spider|LuminousMoth|Sandworm Team|Chimera|GALLIUM|Higaisa|Ke3chang|APT39|Lazarus Group|Mustang Panda|APT3|APT32|Contagious Interview|WIRTE|Kimsuky|ZIRCONIUM|BlackByte|Confucius|Winter Vivern|Wizard Spider|Agrius|Leviathan|Gamaredon Group|MuddyWater|Stealth Falcon|CURIUM|VOID MANTICORE
T1134.004,Parent PID Spoofing,Stealth|Privilege Escalation,no
T1591,Gather Victim Org Information,Reconnaissance,APT28|MirrorFace|Lazarus Group|Moonstone Sleet|FIN7|Kimsuky|Volt Typhoon
T1606,Forge Web Credentials,Credential Access,no
T1621,Multi-Factor Authentication Request Generation,Credential Access,APT29|Scattered Spider|LAPSUS$
T1554,Compromise Host Software Binary,Persistence,UNC3886|APT5
T1552.008,Chat Messages,Credential Access,LAPSUS$
T1059.001,PowerShell,Execution,WIRTE|APT42|APT5|Blue Mockingbird|APT39|Magic Hound|APT19|APT28|APT41|Sandworm Team|VOID MANTICORE|MoustachedBouncer|CopyKittens|Thrip|Storm-0501|Storm-1811|FIN13|Gorgon Group|Play|FIN7|RedCurl|TeamTNT|OilRig|Inception|Lazarus Group|APT32|Chimera|Volt Typhoon|Saint Bear|Earth Lusca|Threat Group-3390|TA2541|Deep Panda|Indrik Spider|Cobalt Group|Leviathan|Wizard Spider|Akira|APT29|GALLIUM|Ember Bear|Daggerfly|FIN6|Medusa Group|HEXANE|LazyScripter|BlackByte|HAFNIUM|Sidewinder|FIN10|Gallmaker|Turla|Silence|Molerats|ToddyCat|UNC3886|APT3|DarkVishnya|TA459|Gamaredon Group|Kimsuky|TA505|FIN8|APT33|Scattered Spider|BRONZE BUTLER|Mustang Panda|Patchwork|Tonto Team|APT38|DarkHydrus|CURIUM|GOLD SOUTHFIELD|menuPass|Poseidon Group|Stealth Falcon|MuddyWater|Fox Kitten|Cinnamon Tempest|Dragonfly|Winter Vivern|Aquatic Panda|Confucius|Nomadic Octopus|APT-C-36
T1546.001,Change Default File Association,Privilege Escalation|Persistence,Kimsuky
T1055.014,VDSO Hijacking,Stealth|Privilege Escalation,no
